Landmark,Frame,X,Y
4,1.0,383,229
4,2.0,384,228
4,3.0,382,226
4,4.0,381,225
4,5.0,382,226
4,6.0,381,225
4,7.0,382,226
4,8.0,383,227
4,9.0,383,228
4,10.0,383,227
4,11.0,385,227
4,12.0,385,227
4,13.0,386,226
4,14.0,386,225
4,15.0,387,223
4,16.0,387,223
4,17.0,388,222
4,18.0,387,221
4,19.0,388,220
4,20.0,388,220
4,21.0,389,220
4,22.0,389,220
4,23.0,388,220
4,24.0,387,220
4,25.0,384,221
4,26.0,385,221
4,27.0,383,222
4,28.0,383,221
4,29.0,383,221
61,1.0,332,301
61,2.0,333,304
61,3.0,331,302
61,4.0,331,303
61,5.0,331,303
61,6.0,331,303
61,7.0,332,302
61,8.0,333,304
61,9.0,332,304
61,10.0,332,304
61,11.0,331,304
61,12.0,331,304
61,13.0,332,303
61,14.0,331,302
61,15.0,333,299
61,16.0,332,299
61,17.0,333,297
61,18.0,333,297
61,19.0,334,296
61,20.0,335,296
61,21.0,335,296
61,22.0,335,296
61,23.0,335,296
61,24.0,334,295
61,25.0,333,295
61,26.0,333,294
61,27.0,332,294
61,28.0,332,294
61,29.0,333,294
146,1.0,337,311
146,2.0,338,312
146,3.0,336,311
146,4.0,335,312
146,5.0,336,313
146,6.0,336,312
146,7.0,337,313
146,8.0,337,315
146,9.0,337,315
146,10.0,337,314
146,11.0,336,314
146,12.0,336,314
146,13.0,337,312
146,14.0,336,312
146,15.0,338,309
146,16.0,337,308
146,17.0,338,307
146,18.0,338,306
146,19.0,339,306
146,20.0,339,306
146,21.0,340,305
146,22.0,339,305
146,23.0,340,305
146,24.0,339,304
146,25.0,337,303
146,26.0,338,302
146,27.0,336,301
146,28.0,337,302
146,29.0,337,300
91,1.0,344,320
91,2.0,344,321
91,3.0,342,320
91,4.0,342,321
91,5.0,343,322
91,6.0,343,322
91,7.0,343,324
91,8.0,344,326
91,9.0,343,325
91,10.0,343,325
91,11.0,343,324
91,12.0,343,324
91,13.0,344,322
91,14.0,343,321
91,15.0,345,318
91,16.0,344,317
91,17.0,345,317
91,18.0,345,316
91,19.0,346,316
91,20.0,346,315
91,21.0,347,314
91,22.0,346,314
91,23.0,347,314
91,24.0,346,313
91,25.0,344,310
91,26.0,344,310
91,27.0,343,308
91,28.0,343,309
91,29.0,344,306
181,1.0,355,329
181,2.0,355,330
181,3.0,353,330
181,4.0,353,331
181,5.0,353,332
181,6.0,353,331
181,7.0,353,335
181,8.0,354,337
181,9.0,353,336
181,10.0,354,336
181,11.0,354,334
181,12.0,354,334
181,13.0,355,332
181,14.0,354,331
181,15.0,356,328
181,16.0,355,326
181,17.0,356,327
181,18.0,356,325
181,19.0,357,325
181,20.0,357,324
181,21.0,357,324
181,22.0,357,324
181,23.0,357,323
181,24.0,356,322
181,25.0,354,318
181,26.0,354,318
181,27.0,353,316
181,28.0,353,316
181,29.0,354,313
84,1.0,369,336
84,2.0,369,336
84,3.0,367,336
84,4.0,367,337
84,5.0,367,338
84,6.0,367,338
84,7.0,367,342
84,8.0,368,344
84,9.0,368,343
84,10.0,368,343
84,11.0,368,341
84,12.0,368,341
84,13.0,370,338
84,14.0,369,338
84,15.0,370,334
84,16.0,369,332
84,17.0,371,333
84,18.0,370,332
84,19.0,372,331
84,20.0,371,330
84,21.0,372,330
84,22.0,371,330
84,23.0,371,329
84,24.0,370,328
84,25.0,368,324
84,26.0,368,323
84,27.0,367,321
84,28.0,367,322
84,29.0,368,317
17,1.0,386,337
17,2.0,386,337
17,3.0,384,337
17,4.0,385,338
17,5.0,385,340
17,6.0,385,339
17,7.0,385,344
17,8.0,386,346
17,9.0,386,345
17,10.0,386,345
17,11.0,386,343
17,12.0,386,343
17,13.0,388,340
17,14.0,387,339
17,15.0,388,336
17,16.0,387,334
17,17.0,388,334
17,18.0,388,333
17,19.0,389,333
17,20.0,389,332
17,21.0,389,332
17,22.0,389,331
17,23.0,389,330
17,24.0,388,329
17,25.0,384,325
17,26.0,384,325
17,27.0,383,322
17,28.0,383,323
17,29.0,383,318
314,1.0,403,334
314,2.0,402,334
314,3.0,401,334
314,4.0,402,335
314,5.0,402,336
314,6.0,402,336
314,7.0,403,340
314,8.0,403,342
314,9.0,403,341
314,10.0,403,341
314,11.0,403,339
314,12.0,403,339
314,13.0,405,337
314,14.0,404,336
314,15.0,405,333
314,16.0,403,331
314,17.0,405,331
314,18.0,404,330
314,19.0,406,330
314,20.0,406,329
314,21.0,406,329
314,22.0,406,328
314,23.0,405,327
314,24.0,404,326
314,25.0,400,323
314,26.0,400,322
314,27.0,399,320
314,28.0,399,321
314,29.0,399,316
405,1.0,416,327
405,2.0,415,327
405,3.0,414,326
405,4.0,414,327
405,5.0,415,328
405,6.0,415,328
405,7.0,415,332
405,8.0,416,333
405,9.0,416,333
405,10.0,416,333
405,11.0,416,331
405,12.0,416,331
405,13.0,418,329
405,14.0,417,328
405,15.0,418,325
405,16.0,416,324
405,17.0,418,324
405,18.0,417,323
405,19.0,419,322
405,20.0,418,321
405,21.0,418,321
405,22.0,418,321
405,23.0,418,320
405,24.0,417,319
405,25.0,413,316
405,26.0,413,316
405,27.0,411,314
405,28.0,411,315
405,29.0,411,311
321,1.0,424,316
321,2.0,423,317
321,3.0,423,316
321,4.0,423,317
321,5.0,423,317
321,6.0,423,317
321,7.0,424,320
321,8.0,424,321
321,9.0,424,321
321,10.0,424,321
321,11.0,425,320
321,12.0,425,320
321,13.0,426,318
321,14.0,426,317
321,15.0,426,314
321,16.0,425,314
321,17.0,427,313
321,18.0,426,312
321,19.0,427,312
321,20.0,427,311
321,21.0,427,311
321,22.0,427,311
321,23.0,426,310
321,24.0,426,310
321,25.0,422,308
321,26.0,422,307
321,27.0,420,306
321,28.0,420,306
321,29.0,420,304
375,1.0,429,307
375,2.0,428,308
375,3.0,428,306
375,4.0,428,307
375,5.0,428,307
375,6.0,429,307
375,7.0,429,309
375,8.0,429,310
375,9.0,429,310
375,10.0,429,310
375,11.0,430,309
375,12.0,430,309
375,13.0,432,307
375,14.0,431,307
375,15.0,431,305
375,16.0,430,304
375,17.0,432,303
375,18.0,431,302
375,19.0,433,302
375,20.0,432,302
375,21.0,432,301
375,22.0,432,301
375,23.0,431,301
375,24.0,431,301
375,25.0,427,300
375,26.0,427,299
